"USERS","CAT"
"1257","8 PLATFORMs"
"216","9 PLATFORMs"
"30459","4 PLATFORMs"
"59086","3 PLATFORMs"
"9051","6 PLATFORMs"
"14519","5 PLATFORMs"
"466719","1 PLATFORM"
"185807","2 PLATFORMs"
"3757","7 PLATFORMs"
