"DATE","PROTOCOL","VOLUME_USD","CUM_VOLUME_USD"
"2024-07-22 00:00:00.000","sushi","2495925.70031432","137421847.809808"
"2024-07-22 00:00:00.000","batswap","18563.52693664","7705988.98394475"
"2024-07-22 00:00:00.000","cetus","9478.615804576","855238.911137883"
"2024-07-22 00:00:00.000","thala","144294871.905467","897119181.122316"
"2024-07-15 00:00:00.000","batswap","11244.803777594","7687425.45700811"
"2024-07-15 00:00:00.000","hippo","4844754.07351981","419676605.69323"
"2024-07-15 00:00:00.000","thala","40450935.6250241","752824309.216849"
"2024-07-15 00:00:00.000","auxexchange","54704.278297711","1414611.36175366"
"2024-07-15 00:00:00.000","cetus","12978.487600139","845760.295333308"
"2024-07-15 00:00:00.000","sushi","3262599.37364589","134925922.109494"
"2024-07-15 00:00:00.000","cellana","141332876.418416","1758081187.58722"
"2024-07-15 00:00:00.000","liquidswap","13320799.2399129","1056776233.69926"
"2024-07-15 00:00:00.000","pancake","7136977.82689343","314085128.178805"
"2024-07-15 00:00:00.000","animeswap","6551.831188351","409070.375730011"
"2024-07-08 00:00:00.000","animeswap","4534.824646294","402518.54454166"
"2024-07-08 00:00:00.000","auxexchange","19238.074091873","1359907.08345595"
"2024-07-08 00:00:00.000","cetus","10355.044280299","832781.807733168"
"2024-07-08 00:00:00.000","thala","34522671.8607231","712373373.591825"
"2024-07-08 00:00:00.000","sushi","3103619.93716513","131663322.735848"
"2024-07-08 00:00:00.000","pancake","5871564.49090774","306948150.351912"
"2024-07-08 00:00:00.000","hippo","5125094.48510101","414831851.61971"
"2024-07-08 00:00:00.000","cellana","132739998.654283","1616748311.16881"
"2024-07-08 00:00:00.000","batswap","8673.489675988","7676180.65323051"
"2024-07-08 00:00:00.000","liquidswap","28854390.9295789","1043455434.45935"
"2024-07-01 00:00:00.000","thala","32453206.291374","677850701.731102"
"2024-07-01 00:00:00.000","sushi","3371593.71201974","128559702.798683"
"2024-07-01 00:00:00.000","liquidswap","37499350.3902145","1014601043.52977"
"2024-07-01 00:00:00.000","batswap","5957.142881656","7667507.16355453"
"2024-07-01 00:00:00.000","auxexchange","23381.986118628","1340669.00936407"
"2024-07-01 00:00:00.000","hippo","10537468.3746532","409706757.134609"
"2024-07-01 00:00:00.000","animeswap","5608.073746927","397983.719895366"
"2024-07-01 00:00:00.000","cellana","124940484.469632","1484008312.51453"
"2024-07-01 00:00:00.000","pancake","7094309.26121708","301076585.861004"
"2024-07-01 00:00:00.000","cetus","11874.813511507","822426.763452869"
"2024-06-24 00:00:00.000","batswap","15897.015557901","7661550.02067287"
"2024-06-24 00:00:00.000","pancake","4099084.86482297","293982276.599787"
"2024-06-24 00:00:00.000","cetus","6826.350865674","810551.949941362"
"2024-06-24 00:00:00.000","animeswap","5218.306620484","392375.646148439"
"2024-06-24 00:00:00.000","auxexchange","14782.259752952","1317287.02324545"
"2024-06-24 00:00:00.000","liquidswap","31288976.5189823","977101693.139552"
"2024-06-24 00:00:00.000","cellana","145239826.691555","1359067828.04489"
"2024-06-24 00:00:00.000","thala","49014053.409177","645397495.439728"
"2024-06-24 00:00:00.000","sushi","1834860.43249592","125188109.086663"
"2024-06-24 00:00:00.000","hippo","5927853.85039287","399169288.759956"
"2024-06-17 00:00:00.000","pancake","7128005.83934993","289883191.734964"
"2024-06-17 00:00:00.000","cetus","12846.415162882","803725.599075688"
"2024-06-17 00:00:00.000","thala","50209910.6831432","596383442.030551"
