SWAP_DATE,PLATFORM,TOTAL_SWAPS,UNIQUE_SWAPPERS,TOTAL_AMOUNT_IN,TOTAL_AMOUNT_OUT,UNIQUE_TOKENS_IN,UNIQUE_TOKENS_OUT,AVG_SWAPS_PER_USER,IMPLIED_FEE_PERCENTAGE
2024-09-05 00:00:00.000,batswap,110,26,1343273756439535,85275394452225,11,12,4.230769,0.936517
2024-09-04 00:00:00.000,cellana,31182,3524,7233901380620892,7134828202910475,18,20,8.848468,0.013696
2024-09-04 00:00:00.000,liquidswap,25211,3524,150779790943115780,151664382982506750,45,51,7.154086,-0.005867
2024-09-04 00:00:00.000,thala,14157,876,244738480091980,177397570138071,21,18,16.160959,0.275155
2024-09-04 00:00:00.000,pancake,7804,1641,2308882886484915,1706483981659995,42,45,4.755637,0.260905
2024-09-04 00:00:00.000,hippo,3578,416,467816249063616,10772915462036596,38,35,8.600962,-22.028092
2024-09-04 00:00:00.000,sushi,1786,285,5091951652130,5052005987189,10,10,6.266667,0.007845
2024-09-04 00:00:00.000,auxexchange,543,275,198679576513,241277817584,15,14,1.974545,-0.214407
2024-09-04 00:00:00.000,cetus,524,34,16221960613,16203192218,12,12,15.411765,0.001157
2024-09-04 00:00:00.000,animeswap,469,236,5188594893063,4431150855504,20,18,1.987288,0.145982
2024-09-04 00:00:00.000,batswap,174,22,1398508508586732,1065030570269972,22,19,7.909091,0.238453
2024-09-03 00:00:00.000,cellana,28916,3397,6677899212481386,6629394223397381,17,17,8.512217,0.007264
2024-09-03 00:00:00.000,liquidswap,23902,3580,205510638296419520,206354153537984540,49,62,6.676536,-0.004104
2024-09-03 00:00:00.000,thala,14566,1248,163925718235998,170239129002112,17,19,11.671474,-0.038514
2024-09-03 00:00:00.000,pancake,7693,1958,7114723657386775,8322398624104189,41,41,3.929009,-0.169743
2024-09-03 00:00:00.000,hippo,5728,816,15059929619357220,7892327666857225,38,37,7.019608,0.475939
2024-09-03 00:00:00.000,sushi,1475,180,5869836182993,3749069124306,8,9,8.194444,0.361299
2024-09-03 00:00:00.000,auxexchange,418,184,22603330309,21020275629,13,12,2.271739,0.070036
2024-09-03 00:00:00.000,animeswap,383,194,20095987881874,18433463207038,23,19,1.974227,0.082729
2024-09-03 00:00:00.000,cetus,369,25,14281722244,10185487474,9,9,14.76,0.286817
2024-09-03 00:00:00.000,batswap,312,26,2697365042659136,4843345786584051,14,13,12,-0.795584
2024-09-02 00:00:00.000,cellana,31018,3135,6704835523624605,6761904681684231,16,18,9.894099,-0.008512
2024-09-02 00:00:00.000,liquidswap,25055,3902,218998238923732300,269744819945261250,49,51,6.421066,-0.231721
2024-09-02 00:00:00.000,thala,15201,906,1724178561715416,1678488525645892,19,22,16.778146,0.0265
2024-09-02 00:00:00.000,pancake,8367,1828,1838849342091853,1718933034835133,47,51,4.577133,0.065213
2024-09-02 00:00:00.000,hippo,5609,792,1558284636872773,23195692170766510,35,32,7.082071,-13.885401
2024-09-02 00:00:00.000,sushi,2175,296,21770979972360,12597958645672,13,14,7.347973,0.421342
2024-09-02 00:00:00.000,auxexchange,554,225,153954286950,124752815702,12,13,2.462222,0.189676
2024-09-02 00:00:00.000,cetus,479,32,16957365827,20633385899,8,10,14.96875,-0.21678
2024-09-02 00:00:00.000,animeswap,341,168,19476872767078,8303568366541,19,18,2.029762,0.57367
2024-09-02 00:00:00.000,batswap,327,20,213593388705748,104920289348663,16,14,16.35,0.508785
2024-09-01 00:00:00.000,cellana,28761,3045,7937519303037793,7880552482677561,17,17,9.44532,0.007177
2024-09-01 00:00:00.000,liquidswap,23853,3772,209786505741389200,197309468361988900,48,50,6.323701,0.059475
2024-09-01 00:00:00.000,thala,14619,1141,181588525502181,173100210163362,15,17,12.812445,0.046745
2024-09-01 00:00:00.000,pancake,6992,1636,3095049078264784,2695303499014011,38,39,4.273839,0.129156
2024-09-01 00:00:00.000,hippo,6102,1098,32132304634069176,2102142031618977,30,31,5.557377,0.934579
2024-09-01 00:00:00.000,sushi,2276,330,16039543062257,14464493383591,8,9,6.89697,0.098198
2024-09-01 00:00:00.000,auxexchange,433,223,123906032190,166861192811,15,14,1.941704,-0.346675
2024-09-01 00:00:00.000,cetus,376,37,18794030415,13113828885,11,10,10.162162,0.302234
2024-09-01 00:00:00.000,animeswap,284,143,28488781842123,5220043137224,15,17,1.986014,0.816768
2024-09-01 00:00:00.000,batswap,262,19,302854770345412,1741759629954876,9,12,13.789474,-4.751138
2024-08-31 00:00:00.000,cellana,27954,3398,6023070900402170,6074012562153868,17,17,8.226604,-0.008458
2024-08-31 00:00:00.000,liquidswap,21159,3614,144984775009860400,148332832914262100,45,48,5.854732,-0.023092
2024-08-31 00:00:00.000,thala,11217,725,161795043242191,171943674678239,19,18,15.471724,-0.062725
2024-08-31 00:00:00.000,pancake,5737,1734,13943003165439828,3524525567854683,41,43,3.308535,0.747219
2024-08-31 00:00:00.000,hippo,2895,282,107516889269530,1574634944340085,26,31,10.265957,-13.645466
2024-08-31 00:00:00.000,sushi,1820,467,9205276273700,22916503395913,9,10,3.897216,-1.489497
2024-08-31 00:00:00.000,auxexchange,374,170,883569793125,2421679348469,13,13,2.2,-1.74079
2024-08-31 00:00:00.000,cetus,329,32,12666134983,8659169778,8,9,10.28125,0.316353
2024-08-31 00:00:00.000,animeswap,259,138,13596569890327,13531586821571,19,23,1.876812,0.004779
2024-08-31 00:00:00.000,batswap,155,27,765108534149049,108721939592872,10,12,5.740741,0.8579
2024-08-30 00:00:00.000,cellana,32817,3225,6856283668700483,6518175347228580,17,17,10.175814,0.049314
2024-08-30 00:00:00.000,liquidswap,28115,4525,185834839512452700,179166558714447940,50,48,6.21326,0.035883
2024-08-30 00:00:00.000,thala,20186,711,349258236951184,342421644790084,20,16,28.390999,0.019575
2024-08-30 00:00:00.000,pancake,12186,1568,2400980942323921,16077498819385040,47,50,7.771684,-5.696221
2024-08-30 00:00:00.000,hippo,6235,1088,4211250616604440,5689543740403662,34,38,5.730699,-0.351034
2024-08-30 00:00:00.000,sushi,3683,442,11001339078314,10825989001101,15,17,8.332579,0.015939
2024-08-30 00:00:00.000,cetus,779,63,30825423208,30265630282,9,9,12.365079,0.01816
2024-08-30 00:00:00.000,auxexchange,710,266,546056412515,16774366344,13,12,2.669173,0.969281
2024-08-30 00:00:00.000,animeswap,646,227,702225571690,12383012731000,17,17,2.845815,-16.633953
