ACTIVITY_DATE,PLATFORM,CHAIN_PAIR,TOTAL_TRANSACTIONS,UNIQUE_USERS,TOTAL_RAW_AMOUNT,AVG_RAW_AMOUNT_PER_TX,AVG_RAW_AMOUNT_PER_TX_CALCULATED,USERS_PER_TRANSACTION_RATIO
2024-09-08 00:00:00.000,wormhole,aptos -> solana,16,6,6175176896667,385948556041.6875,385948556041.6875,0.375
2024-09-08 00:00:00.000,wormhole,aptos -> sui,13,9,20848195822,1603707370.923077,1603707370.923077,0.692308
2024-09-08 00:00:00.000,layerzero,Aptos -> Polygon,10,10,4438877130,443887713,443887713,1
2024-09-08 00:00:00.000,layerzero,Aptos -> Ethereum,8,8,40297997010,5037249626.25,5037249626.25,1
2024-09-08 00:00:00.000,layerzero,Polygon -> Aptos,4,1,119574600,29893650,29893650,0.25
2024-09-08 00:00:00.000,layerzero,Aptos -> Avalanche,4,4,252244993,63061248.25,63061248.25,1
2024-09-08 00:00:00.000,mover,aptos -> Arbitrum,2,2,1993810,996905,996905,1
2024-09-08 00:00:00.000,wormhole,aptos -> ethereum,1,1,100862399000,100862399000,100862399000,1
2024-09-08 00:00:00.000,wormhole,aptos -> arbitrum,1,1,8300000,8300000,8300000,1
2024-09-08 00:00:00.000,wormhole,aptos -> bsc,1,1,100000000,100000000,100000000,1
2024-09-08 00:00:00.000,mover,aptos -> Optimism,1,1,2926880,2926880,2926880,1
2024-09-07 00:00:00.000,layerzero,Aptos -> Arbitrum,112,108,32552359812,290646069.75,290646069.75,0.964286
2024-09-07 00:00:00.000,layerzero,Aptos -> BSC,33,30,83328612746,2525109477.151515,2525109477.151515,0.909091
2024-09-07 00:00:00.000,layerzero,BSC -> Aptos,32,1,94346798410,2948337450.3125,2948337450.3125,0.03125
2024-09-07 00:00:00.000,layerzero,Arbitrum -> Aptos,26,1,31694921844,1219035455.538462,1219035455.538462,0.038462
2024-09-07 00:00:00.000,layerzero,Aptos -> Optimism,24,21,3861330419,160888767.458333,160888767.458333,0.875
2024-09-07 00:00:00.000,wormhole,,23,16,2904579440351,126286062623.95653,126286062623.95653,0.695652
2024-09-07 00:00:00.000,layerzero,Ethereum -> Aptos,19,1,657413722634,34600722243.89474,34600722243.89474,0.052632
2024-09-07 00:00:00.000,layerzero,Optimism -> Aptos,18,1,4332773914,240709661.888889,240709661.888889,0.055556
2024-09-07 00:00:00.000,layerzero,Aptos -> Polygon,14,13,7216010900,515429350,515429350,0.928571
2024-09-07 00:00:00.000,wormhole,aptos -> solana,13,7,200479322674,15421486359.538462,15421486359.538462,0.538462
2024-09-07 00:00:00.000,layerzero,Aptos -> Ethereum,11,10,1130458906519,102768991501.72728,102768991501.72728,0.909091
2024-09-07 00:00:00.000,wormhole,aptos -> sui,8,7,6385720503,798215062.875,798215062.875,0.875
2024-09-07 00:00:00.000,layerzero,Aptos -> Avalanche,7,6,1868744268,266963466.857143,266963466.857143,0.857143
2024-09-07 00:00:00.000,layerzero,Polygon -> Aptos,7,1,3330011782,475715968.857143,475715968.857143,0.142857
2024-09-07 00:00:00.000,layerzero,Avalanche -> Aptos,6,1,8037266875,1339544479.166667,1339544479.166667,0.166667
2024-09-07 00:00:00.000,wormhole,aptos -> ethereum,2,1,232763618450,116381809225,116381809225,0.5
2024-09-07 00:00:00.000,wormhole,aptos -> polygon,1,1,13209249,13209249,13209249,1
2024-09-07 00:00:00.000,mover,Arbitrum -> aptos,1,1,1570383,1570383,1570383,1
2024-09-07 00:00:00.000,wormhole,aptos -> arbitrum,1,1,637000000,637000000,637000000,1
2024-09-06 00:00:00.000,layerzero,Arbitrum -> Aptos,65,1,57345394566,882236839.476923,882236839.476923,0.015385
2024-09-06 00:00:00.000,layerzero,Aptos -> Optimism,59,44,10279342995,174226152.457627,174226152.457627,0.745763
2024-09-06 00:00:00.000,layerzero,Aptos -> Arbitrum,58,54,91369078815,1575328945.086207,1575328945.086207,0.931034
2024-09-06 00:00:00.000,layerzero,Optimism -> Aptos,51,1,12417947936,243489175.215686,243489175.215686,0.019608
2024-09-06 00:00:00.000,layerzero,BSC -> Aptos,40,1,462234582968,11555864574.2,11555864574.2,0.025
2024-09-06 00:00:00.000,wormhole,,39,18,2509145489905,64337063843.71795,64337063843.71795,0.461538
2024-09-06 00:00:00.000,layerzero,Aptos -> BSC,32,29,175017973842,5469311682.5625,5469311682.5625,0.90625
2024-09-06 00:00:00.000,layerzero,Aptos -> Polygon,28,27,12257014594,437750521.214286,437750521.214286,0.964286
2024-09-06 00:00:00.000,layerzero,Ethereum -> Aptos,22,1,2259965225887,102725692085.77272,102725692085.77272,0.045455
2024-09-06 00:00:00.000,wormhole,aptos -> sui,17,10,23121600957,1360094173.941176,1360094173.941176,0.588235
2024-09-06 00:00:00.000,layerzero,Aptos -> Avalanche,17,13,69246367100,4073315711.764706,4073315711.764706,0.764706
2024-09-06 00:00:00.000,layerzero,Polygon -> Aptos,14,1,8326303464,594735961.714286,594735961.714286,0.071429
2024-09-06 00:00:00.000,wormhole,aptos -> solana,12,7,71927282879079,5993940239923.25,5993940239923.25,0.583333
2024-09-06 00:00:00.000,layerzero,Aptos -> Ethereum,10,9,382406591132,38240659113.2,38240659113.2,0.9
2024-09-06 00:00:00.000,layerzero,Avalanche -> Aptos,10,1,10749502430,1074950243,1074950243,0.1
2024-09-06 00:00:00.000,mover,Polygon -> aptos,3,1,3164844,1054948,1054948,0.333333
2024-09-06 00:00:00.000,mover,Arbitrum -> aptos,3,1,9495912,3165304,3165304,0.333333
2024-09-06 00:00:00.000,wormhole,aptos -> arbitrum,2,2,1984040000,992020000,992020000,1
2024-09-06 00:00:00.000,wormhole,aptos -> optimism,1,1,249200,249200,249200,1
2024-09-06 00:00:00.000,wormhole,aptos -> base,1,1,1416700000,1416700000,1416700000,1
2024-09-06 00:00:00.000,layerzero,Aptos -> Base,1,1,64362779434,64362779434,64362779434,1
