DATE,CHAIN,TOTAL_TX,TTL_TX_COUNT,TOTAL_USER,TPS
2024-08-14 00:00:00.000,Solana,39979258,39979258,977584,462.722894
2024-07-26 00:00:00.000,Arbitrum,1809182,1809182,447017,20.939606
2024-07-25 00:00:00.000,BSC,3155815,3155815,835732,36.525637
2024-07-26 00:00:00.000,Base,3964491,3964491,587528,45.885313
2024-08-01 00:00:00.000,Ethereum,1097472,1097472,322282,12.702222
2024-07-18 00:00:00.000,Base,3925155,3925155,768082,45.430035
2024-07-17 00:00:00.000,Near,7053723,7053723,1971137,81.640313
2024-07-18 00:00:00.000,Aptos,1659628,1659628,172867,19.208657
2024-08-10 00:00:00.000,Sei,4131093,4131093,4960,47.813576
2024-07-23 00:00:00.000,Flow,158416,158416,6073,1.833519
2024-07-26 00:00:00.000,Aptos,1539819,1539819,184073,17.821979
2024-07-25 00:00:00.000,Sei,4234390,4234390,3362,49.009144
2024-08-05 00:00:00.000,Blast,743454,743454,35485,8.604792
2024-08-04 00:00:00.000,Base,3268892,3268892,577130,37.834398
2024-08-11 00:00:00.000,Base,3572782,3572782,733924,41.351644
2024-07-24 00:00:00.000,BSC,3257873,3257873,867207,37.706863
2024-08-09 00:00:00.000,Base,3496794,3496794,645711,40.472153
2024-08-11 00:00:00.000,Arbitrum,1699201,1699201,339891,19.666678
2024-07-28 00:00:00.000,Flow,161493,161493,3476,1.869132
2024-08-06 00:00:00.000,Aptos,1871140,1871140,170604,21.656713
2024-08-10 00:00:00.000,Solana,37919294,37919294,733895,438.880718
2024-08-01 00:00:00.000,Polygon,2842123,2842123,708441,32.894942
2024-07-19 00:00:00.000,Near,5951908,5951908,1933203,68.887824
2024-08-08 00:00:00.000,Aptos,1504183,1504183,63986,17.409525
2024-08-07 00:00:00.000,Sei,3210472,3210472,5493,37.158241
2024-07-31 00:00:00.000,Solana,40468660,40468660,1250526,468.387269
2024-07-25 00:00:00.000,Arbitrum,2078956,2078956,452032,24.061991
2024-08-07 00:00:00.000,BSC,3539501,3539501,833380,40.966447
2024-08-10 00:00:00.000,Ethereum,1030658,1030658,388582,11.928912
2024-08-09 00:00:00.000,Arbitrum,1916966,1916966,343505,22.187106
2024-08-14 00:00:00.000,Polygon,2548867,2548867,729359,29.500775
2024-08-07 00:00:00.000,Avalanche,152408,152408,29154,1.763981
2024-08-14 00:00:00.000,Ethereum,1243543,1243543,519389,14.392859
2024-08-02 00:00:00.000,Flow,66410,66410,5974,0.768634
2024-07-31 00:00:00.000,Aptos,2402656,2402656,197455,27.808519
2024-08-02 00:00:00.000,BSC,3427133,3427133,814060,39.665891
2024-08-05 00:00:00.000,Base,3119452,3119452,402208,36.104769
2024-08-04 00:00:00.000,Arbitrum,2035953,2035953,415841,23.564271
2024-08-16 00:00:00.000,Blast,1242640,1242640,34474,14.382407
2024-08-15 00:00:00.000,Ethereum,1221327,1221327,483825,14.135729
2024-07-18 00:00:00.000,Polygon,3486646,3486646,1343660,40.354699
2024-07-23 00:00:00.000,Optimism,520168,520168,82109,6.020463
2024-07-19 00:00:00.000,Flow,160514,160514,9724,1.857801
2024-07-17 00:00:00.000,Solana,41285594,41285594,1198652,477.842523
2024-07-25 00:00:00.000,Solana,46824456,46824456,1177905,541.949722
2024-08-11 00:00:00.000,Sei,4250659,4250659,5546,49.197442
2024-08-08 00:00:00.000,Ethereum,1074082,1074082,316931,12.431505
2024-08-04 00:00:00.000,Polygon,2732342,2732342,756152,31.624329
2024-08-14 00:00:00.000,Arbitrum,1937394,1937394,345230,22.423542
2024-07-21 00:00:00.000,BSC,2868488,2868488,786864,33.200093
2024-07-20 00:00:00.000,Near,5915186,5915186,1903821,68.462801
2024-07-27 00:00:00.000,Flow,162337,162337,3569,1.8789
2024-08-06 00:00:00.000,Polygon,2957943,2957943,810026,34.235451
2024-08-16 00:00:00.000,Polygon,2671228,2671228,707989,30.916991
2024-07-27 00:00:00.000,Base,4161494,4161494,681213,48.16544
2024-07-26 00:00:00.000,Near,5617285,5617285,1871579,65.014873
2024-07-31 00:00:00.000,BSC,3176167,3176167,830775,36.761192
2024-08-01 00:00:00.000,Optimism,514173,514173,57782,5.951076
2024-07-29 00:00:00.000,Ethereum,1065165,1065165,347230,12.328299
2024-07-21 00:00:00.000,Optimism,516709,516709,83527,5.980428
2024-08-13 00:00:00.000,Near,6084074,6084074,711664,70.417523
2024-08-07 00:00:00.000,Ethereum,1099933,1099933,357191,12.730706
2024-07-22 00:00:00.000,Ethereum,1122027,1122027,351021,12.986424
2024-07-30 00:00:00.000,Base,3441966,3441966,568762,39.837569
2024-08-10 00:00:00.000,Arbitrum,1619124,1619124,370903,18.739861
2024-08-10 00:00:00.000,Blast,884404,884404,28168,10.236157
2024-08-16 00:00:00.000,Base,3825427,3825427,765226,44.275775
2024-07-29 00:00:00.000,BSC,3366542,3366542,844951,38.964606
2024-08-12 00:00:00.000,BSC,3705143,3705143,1703247,42.8836
2024-07-30 00:00:00.000,Solana,45344400,45344400,1371687,524.819444
2024-07-23 00:00:00.000,Sei,4260470,4260470,2974,49.310995
2024-07-21 00:00:00.000,Sei,4263443,4263443,3216,49.345405
2024-07-22 00:00:00.000,Blast,762114,762114,46325,8.820764
2024-08-13 00:00:00.000,Arbitrum,1883728,1883728,357301,21.802407
2024-08-16 00:00:00.000,Aptos,18928822,18928822,193624,219.083588
2024-08-11 00:00:00.000,Aptos,1450461,1450461,99288,16.787743
2024-07-17 00:00:00.000,Base,3364030,3364030,723218,38.935532
2024-08-11 00:00:00.000,Polygon,2847825,2847825,871582,32.960938
2024-07-19 00:00:00.000,Polygon,3436030,3436030,1380934,39.768866
2024-07-26 00:00:00.000,BSC,3125754,3125754,846944,36.177708
2024-08-15 00:00:00.000,Sei,4031837,4031837,6724,46.66478
2024-07-19 00:00:00.000,Solana,42073779,42073779,1157846,486.965035
2024-07-19 00:00:00.000,Optimism,503502,503502,92205,5.827569
2024-08-07 00:00:00.000,Base,3268257,3268257,510869,37.827049
2024-08-14 00:00:00.000,BSC,2783221,2783221,894034,32.213206
2024-08-02 00:00:00.000,Sei,4108558,4108558,16769,47.552755
2024-07-17 00:00:00.000,Avalanche,160518,160518,35525,1.857847
2024-07-27 00:00:00.000,BSC,3041127,3041127,785672,35.198229
2024-08-08 00:00:00.000,Solana,35469929,35469929,959503,410.531586
2024-07-21 00:00:00.000,Aptos,1578404,1578404,141569,18.268565
2024-07-26 00:00:00.000,Blast,659331,659331,49805,7.631146
2024-08-06 00:00:00.000,Optimism,571015,571015,62276,6.60897
2024-07-23 00:00:00.000,BSC,3274574,3274574,779918,37.900162
2024-07-30 00:00:00.000,Aptos,1758110,1758110,223749,20.348495
2024-07-19 00:00:00.000,Sei,4197866,4197866,3230,48.586412
2024-08-13 00:00:00.000,Aptos,52433562,52433562,159254,606.869931
2024-08-05 00:00:00.000,Solana,31151289,31151289,994727,360.547326
2024-08-08 00:00:00.000,Blast,887738,887738,34422,10.274745
2024-07-30 00:00:00.000,Optimism,428478,428478,65861,4.959236
2024-07-18 00:00:00.000,Optimism,521296,521296,95364,6.033519
2024-08-08 00:00:00.000,Avalanche,151865,151865,26710,1.757697
2024-08-05 00:00:00.000,BSC,4379718,4379718,948702,50.691181
2024-08-12 00:00:00.000,Polygon,2976900,2976900,805532,34.454861
2024-08-13 00:00:00.000,Optimism,498963,498963,62325,5.775035
2024-07-22 00:00:00.000,Near,7014441,7014441,1983343,81.18566
2024-08-07 00:00:00.000,Aptos,1690957,1690957,108539,19.571262
2024-07-21 00:00:00.000,Solana,42874393,42874393,1239688,496.2314
2024-07-19 00:00:00.000,Base,3823544,3823544,728189,44.253981
2024-08-06 00:00:00.000,Base,3167846,3167846,546756,36.664884
2024-08-02 00:00:00.000,Ethereum,1064531,1064531,324033,12.320961
2024-08-04 00:00:00.000,Ethereum,1017637,1017637,367355,11.778206
2024-08-14 00:00:00.000,Base,3750386,3750386,736076,43.407245
2024-07-24 00:00:00.000,Ethereum,1099464,1099464,358853,12.725278
2024-08-08 00:00:00.000,Near,5740583,5740583,1226073,66.441933
2024-08-12 00:00:00.000,Aptos,2208138,2208138,100822,25.557153
2024-07-20 00:00:00.000,Optimism,475469,475469,82359,5.503113
2024-07-28 00:00:00.000,Arbitrum,1672890,1672890,472662,19.362153
2024-08-09 00:00:00.000,BSC,3400783,3400783,798985,39.360914
2024-08-06 00:00:00.000,Blast,912273,912273,30718,10.558715
2024-08-10 00:00:00.000,Aptos,1444181,1444181,68559,16.715058
2024-07-18 00:00:00.000,Solana,43169679,43169679,1151006,499.649063
2024-08-07 00:00:00.000,Arbitrum,2073569,2073569,374602,23.999641
2024-08-14 00:00:00.000,Blast,930633,930633,33108,10.771215
2024-07-28 00:00:00.000,Avalanche,117795,117795,28257,1.363368
2024-08-11 00:00:00.000,Optimism,426949,426949,51969,4.941539
2024-08-03 00:00:00.000,Flow,76106,76106,3884,0.880856
2024-07-23 00:00:00.000,Near,6970467,6970467,1921865,80.676701
2024-07-22 00:00:00.000,Aptos,2089425,2089425,223910,24.18316
2024-08-12 00:00:00.000,Optimism,492919,492919,58685,5.705081
2024-08-15 00:00:00.000,Polygon,2562286,2562286,705573,29.656088
2024-08-06 00:00:00.000,Flow,272890,272890,10488,3.158449
2024-07-20 00:00:00.000,BSC,2899012,2899012,796200,33.55338
2024-07-28 00:00:00.000,Polygon,2935203,2935203,1058184,33.972257
2024-08-07 00:00:00.000,Polygon,3075443,3075443,914320,35.595405
2024-07-22 00:00:00.000,Arbitrum,1900409,1900409,442002,21.995475
2024-08-10 00:00:00.000,Base,3348683,3348683,674503,38.757905
2024-07-29 00:00:00.000,Avalanche,180023,180023,33059,2.0836
2024-07-24 00:00:00.000,Avalanche,159765,159765,33184,1.849132
2024-07-24 00:00:00.000,Base,3160934,3160934,575816,36.584884
2024-08-02 00:00:00.000,Optimism,494564,494564,55539,5.72412
2024-07-20 00:00:00.000,Arbitrum,1891196,1891196,592478,21.888843
2024-08-06 00:00:00.000,Ethereum,1107881,1107881,363075,12.822697
2024-08-07 00:00:00.000,Optimism,524578,524578,63333,6.071505
2024-07-18 00:00:00.000,Avalanche,160104,160104,39589,1.853056
2024-07-31 00:00:00.000,Near,5957929,5957929,1864233,68.957512
2024-08-14 00:00:00.000,Flow,409869,409869,55435,4.743854
2024-07-24 00:00:00.000,Near,7552165,7552165,1935414,87.409317
2024-07-28 00:00:00.000,Solana,40276446,40276446,1152064,466.162569
2024-08-09 00:00:00.000,Sei,3904093,3904093,6403,45.186262
2024-07-25 00:00:00.000,Ethereum,1099836,1099836,347884,12.729583
2024-07-26 00:00:00.000,Ethereum,1118594,1118594,376232,12.94669
2024-07-23 00:00:00.000,Ethereum,1114990,1114990,372592,12.904977
2024-08-01 00:00:00.000,BSC,3406937,3406937,837338,39.432141
2024-08-04 00:00:00.000,Avalanche,156365,156365,26828,1.80978
2024-08-12 00:00:00.000,Blast,881466,881466,36756,10.202153
2024-08-15 00:00:00.000,Optimism,509228,509228,58217,5.893843
2024-08-04 00:00:00.000,Flow,54206,54206,3298,0.627384
2024-08-09 00:00:00.000,Flow,498793,498793,61759,5.773067
2024-07-27 00:00:00.000,Aptos,1534766,1534766,178275,17.763495
2024-08-10 00:00:00.000,BSC,2905145,2905145,745591,33.624363
2024-07-19 00:00:00.000,Blast,727757,727757,49032,8.423113
2024-08-03 00:00:00.000,Near,6191805,6191805,1729039,71.66441
2024-08-07 00:00:00.000,Near,6189920,6189920,1779488,71.642593
2024-08-12 00:00:00.000,Near,6670104,6670104,714027,77.200278
2024-08-14 00:00:00.000,Aptos,147949908,147949908,109277,1712.383194
2024-07-26 00:00:00.000,Solana,45005489,45005489,1244918,520.896863
2024-07-27 00:00:00.000,Polygon,2737050,2737050,843397,31.678819
2024-08-10 00:00:00.000,Flow,489100,489100,75714,5.66088
2024-08-11 00:00:00.000,Solana,36305597,36305597,903412,420.203669
2024-07-17 00:00:00.000,BSC,3151368,3151368,884684,36.474167
2024-08-03 00:00:00.000,Optimism,461849,461849,53202,5.345475
2024-08-03 00:00:00.000,Avalanche,171856,171856,45639,1.989074
2024-08-10 00:00:00.000,Avalanche,103077,103077,21554,1.193021
2024-07-28 00:00:00.000,Base,3558173,3558173,627714,41.182558
2024-07-24 00:00:00.000,Optimism,442364,442364,90839,5.119954
2024-08-08 00:00:00.000,Flow,465208,465208,65144,5.384352
2024-07-24 00:00:00.000,Flow,132617,132617,5659,1.534919
2024-07-23 00:00:00.000,Solana,43578453,43578453,1288913,504.380243
2024-08-03 00:00:00.000,Sei,4123455,4123455,25372,47.725174
2024-07-21 00:00:00.000,Arbitrum,1837626,1837626,434094,21.268819
2024-08-03 00:00:00.000,Blast,589121,589121,30257,6.81853
2024-07-26 00:00:00.000,Avalanche,146213,146213,31072,1.69228
2024-07-25 00:00:00.000,Base,3526745,3526745,539247,40.818808
2024-07-17 00:00:00.000,Flow,611792,611792,116968,7.080926
2024-07-30 00:00:00.000,Sei,4655721,4655721,9808,53.88566
2024-07-30 00:00:00.000,Polygon,3162122,3162122,1043752,36.598634
2024-08-01 00:00:00.000,Base,3291777,3291777,650517,38.099271
2024-07-19 00:00:00.000,Ethereum,1119938,1119938,356134,12.962245
