DATE,TYPE,N_TXS,TOTAL_SWAPS,N_USER,VOLUME,TOTAL_VOLUME,7D-MA Swaps,7D-MA Swappers,7D-MA volume
2024-08-20 00:00:00.000,Meme related swap,8690,56115,105,2105565.24770917,11875653.2796408,5786.75,94,1099009.67846063
2024-08-20 00:00:00.000,Non-Meme related swap,22926,335919,1692,1202009969.69266,15715780574.2162,32046,3030.5,1369434056.39397
2024-08-19 00:00:00.000,Non-Meme related swap,29008,312993,2174,1143790348.95194,14513770604.5236,35292.75,3382.25,1595522925.9125
2024-08-19 00:00:00.000,Meme related swap,8802,47425,86,736010.087414374,9770088.03193164,5318.125,93.75,1063461.57250632
2024-08-18 00:00:00.000,Non-Meme related swap,27363,283985,2136,835833158.57721,13369980255.5717,35498.125,3563.5,1671247531.94646
2024-08-18 00:00:00.000,Meme related swap,4917,38623,89,638886.894895786,9034077.94451727,4827.875,94.5,1129259.74306466
2024-08-17 00:00:00.000,Meme related swap,4748,33706,75,1440930.53967169,8395191.04962148,4815.142,95.285,1199313.00708878
2024-08-17 00:00:00.000,Non-Meme related swap,25732,256622,2008,582299768.785047,12534147096.9944,36660.285,3767.428,1790592442.42778
2024-08-16 00:00:00.000,Non-Meme related swap,35539,230890,2772,1571140983.28436,11951847328.2094,38481.666,4060.666,1991974554.70157
2024-08-16 00:00:00.000,Meme related swap,4740,28958,87,1287561.5518782,6954260.50994979,4826.333,98.666,1159043.41832497
2024-08-15 00:00:00.000,Non-Meme related swap,37060,195351,4494,1725435256.80332,10380706344.925,39070.2,4318.4,2076141268.98501
2024-08-15 00:00:00.000,Meme related swap,4680,24218,88,1201609.2344758,5666698.9580716,4843.6,101,1133339.79161432
2024-08-14 00:00:00.000,Non-Meme related swap,36004,158291,4521,1884854937.77383,8655271088.12171,39572.75,4274.5,2163817772.03043
2024-08-14 00:00:00.000,Meme related swap,4794,19538,131,714472.233828848,4465089.7235958,4884.5,104.25,1116272.43089895
2024-08-13 00:00:00.000,Non-Meme related swap,42736,122287,4447,2010108027.28342,6770416150.34788,40762.333,4192.333,2256805383.44929
2024-08-13 00:00:00.000,Meme related swap,4923,14744,91,667041.637811177,3750617.48976695,4914.666,95.333,1250205.82992232
2024-08-12 00:00:00.000,Non-Meme related swap,48900,79551,4506,3010720925.84084,4760308123.06446,39775.5,4065,2380154061.53223
2024-08-12 00:00:00.000,Meme related swap,4941,9821,103,1821180.40007471,3083575.85195577,4910.5,97.5,1541787.92597789
2024-08-11 00:00:00.000,Non-Meme related swap,30651,30651,3624,1749587197.22362,1749587197.22362,30651,3624,1749587197.22362
2024-08-11 00:00:00.000,Meme related swap,4880,4880,92,1262395.45188107,1262395.45188107,4880,92,1262395.45188107
