DATE,ASSET,N_TXS,TOTAL_SWAPS,N_USER,VOLUME,TOTAL_VOLUME
2024-09-03 00:00:00.000,APTO,3,142,3,39.902036667,58919709.1154779
2024-09-03 00:00:00.000,ROO,2,49,1,38.791000641,1830146.46949957
2024-09-03 00:00:00.000,APARTMENT,6,32,2,86.469441272,201367.212947752
2024-09-03 00:00:00.000,GUI,188,2897,59,31604.485266696,25023696.823681
2024-09-02 00:00:00.000,DONK,180,3336,3,6751.528961294,134745.642352167
2024-09-02 00:00:00.000,SHRIMP,2,85,2,0.1589315649,14777.821442562
2024-09-02 00:00:00.000,CHEWY,2,110,2,1.265616668,109.409525167
2024-09-02 00:00:00.000,APARTMENT,2,26,2,0.006254166667,201280.74350648
2024-09-02 00:00:00.000,GUI,147,2709,61,337583.534875123,24992092.3384143
2024-09-02 00:00:00.000,UPTOS,1096,23619,22,73489.085584205,994797.399585868
2024-09-02 00:00:00.000,doodoo,9514,161593,29,2174671.42034043,24433313.7306159
2024-09-02 00:00:00.000,APTO,2,139,2,43.518473737,58919669.2134412
2024-09-01 00:00:00.000,SHRIMP,2,83,2,98.306313533,14777.662510997
2024-09-01 00:00:00.000,UPTOS,1080,22523,18,67811.113098226,921308.314001663
2024-09-01 00:00:00.000,APARTMENT,3,24,3,10.146,201280.737252313
2024-09-01 00:00:00.000,ROO,1,47,1,0.04185225,1830107.67849893
2024-09-01 00:00:00.000,doodoo,10172,152079,23,1970138.76354796,22258642.3102755
2024-09-01 00:00:00.000,DONK,197,3156,3,7630.406245536,127994.113390873
2024-09-01 00:00:00.000,APTO,12,137,3,1042.373189435,58919625.6949674
2024-09-01 00:00:00.000,FOMO,1,68,1,0,0.06539544783
2024-09-01 00:00:00.000,GUI,142,2562,51,28749.794840005,24654508.8035392
2024-08-31 00:00:00.000,APTO,2,125,2,105.160656736,58918583.321778
2024-08-31 00:00:00.000,CHEWY,1,108,1,6.647916667,108.143908499
2024-08-31 00:00:00.000,GUI,67,2420,53,3149.763455513,24625759.0086992
